extension,downloads_last_week,_last_update,week_number,year
chsql,165,2024-10-01,40,2024
crypto,162,2024-10-01,40,2024
evalexpr_rhai,492,2024-10-01,40,2024
faiss,163,2024-10-01,40,2024
fuzzycomplete,162,2024-10-01,40,2024
h3,7668,2024-10-01,40,2024
lindel,162,2024-10-01,40,2024
magic,25,2024-10-01,40,2024
pivot_table,178,2024-10-01,40,2024
prql,174,2024-10-01,40,2024
quack,247,2024-10-01,40,2024
scrooge,161,2024-10-01,40,2024
shellfs,142,2024-10-01,40,2024
tarfs,163,2024-10-01,40,2024
ulid,184,2024-10-01,40,2024
bigquery,173,2024-10-08,41,2024
chsql,175,2024-10-08,41,2024
crypto,157,2024-10-08,41,2024
duckpgq,197,2024-10-08,41,2024
evalexpr_rhai,416,2024-10-08,41,2024
faiss,155,2024-10-08,41,2024
fuzzycomplete,158,2024-10-08,41,2024
h3,2486,2024-10-08,41,2024
lindel,170,2024-10-08,41,2024
magic,86,2024-10-08,41,2024
pivot_table,150,2024-10-08,41,2024
prql,169,2024-10-08,41,2024
psql,16,2024-10-08,41,2024
quack,286,2024-10-08,41,2024
scrooge,165,2024-10-08,41,2024
sheetreader,62,2024-10-08,41,2024
shellfs,172,2024-10-08,41,2024
tarfs,151,2024-10-08,41,2024
ulid,209,2024-10-08,41,2024
bigquery,276,2024-10-15,42,2024
chsql,159,2024-10-15,42,2024
crypto,142,2024-10-15,42,2024
duckpgq,1563,2024-10-15,42,2024
evalexpr_rhai,326,2024-10-15,42,2024
faiss,138,2024-10-15,42,2024
fuzzycomplete,155,2024-10-15,42,2024
h3,4422,2024-10-15,42,2024
httpserver,94,2024-10-15,42,2024
lindel,151,2024-10-15,42,2024
magic,117,2024-10-15,42,2024
pivot_table,130,2024-10-15,42,2024
prql,155,2024-10-15,42,2024
psql,89,2024-10-15,42,2024
quack,252,2024-10-15,42,2024
scrooge,143,2024-10-15,42,2024
sheetreader,135,2024-10-15,42,2024
shellfs,165,2024-10-15,42,2024
tarfs,147,2024-10-15,42,2024
ulid,245,2024-10-15,42,2024
bigquery,222,2024-10-29,44,2024
chsql,143,2024-10-29,44,2024
crypto,118,2024-10-29,44,2024
duckpgq,298,2024-10-29,44,2024
evalexpr_rhai,294,2024-10-29,44,2024
faiss,117,2024-10-29,44,2024
flockmtl,68,2024-10-29,44,2024
fuzzycomplete,122,2024-10-29,44,2024
gsheets,37,2024-10-29,44,2024
h3,6683,2024-10-29,44,2024
hostfs,25,2024-10-29,44,2024
http_client,69,2024-10-29,44,2024
httpserver,105,2024-10-29,44,2024
lindel,129,2024-10-29,44,2024
magic,92,2024-10-29,44,2024
open_prompt,65,2024-10-29,44,2024
pivot_table,106,2024-10-29,44,2024
prql,137,2024-10-29,44,2024
psql,93,2024-10-29,44,2024
quack,150,2024-10-29,44,2024
scrooge,128,2024-10-29,44,2024
sheetreader,101,2024-10-29,44,2024
shellfs,183,2024-10-29,44,2024
tarfs,116,2024-10-29,44,2024
ulid,146,2024-10-29,44,2024
bigquery,296,2024-11-05,45,2024
chsql,195,2024-11-05,45,2024
crypto,180,2024-11-05,45,2024
duckpgq,741,2024-11-05,45,2024
evalexpr_rhai,363,2024-11-05,45,2024
faiss,173,2024-11-05,45,2024
flockmtl,128,2024-11-05,45,2024
fuzzycomplete,183,2024-11-05,45,2024
gsheets,148,2024-11-05,45,2024
h3,8956,2024-11-05,45,2024
hostfs,100,2024-11-05,45,2024
http_client,145,2024-11-05,45,2024
httpserver,176,2024-11-05,45,2024
lindel,186,2024-11-05,45,2024
magic,152,2024-11-05,45,2024
open_prompt,128,2024-11-05,45,2024
pivot_table,216,2024-11-05,45,2024
prql,196,2024-11-05,45,2024
psql,150,2024-11-05,45,2024
quack,202,2024-11-05,45,2024
scrooge,184,2024-11-05,45,2024
sheetreader,152,2024-11-05,45,2024
shellfs,243,2024-11-05,45,2024
tarfs,180,2024-11-05,45,2024
ulid,213,2024-11-05,45,2024
bigquery,380,2024-11-07,45,2024
chsql,195,2024-11-07,45,2024
crypto,180,2024-11-07,45,2024
duckpgq,1180,2024-11-07,45,2024
evalexpr_rhai,363,2024-11-07,45,2024
faiss,171,2024-11-07,45,2024
flockmtl,131,2024-11-07,45,2024
fuzzycomplete,179,2024-11-07,45,2024
gsheets,151,2024-11-07,45,2024
h3,10272,2024-11-07,45,2024
hostfs,100,2024-11-07,45,2024
http_client,153,2024-11-07,45,2024
httpserver,195,2024-11-07,45,2024
lindel,182,2024-11-07,45,2024
magic,147,2024-11-07,45,2024
open_prompt,133,2024-11-07,45,2024
pivot_table,220,2024-11-07,45,2024
prql,199,2024-11-07,45,2024
psql,143,2024-11-07,45,2024
quack,195,2024-11-07,45,2024
scrooge,177,2024-11-07,45,2024
sheetreader,149,2024-11-07,45,2024
shellfs,246,2024-11-07,45,2024
tarfs,179,2024-11-07,45,2024
ulid,225,2024-11-07,45,2024
bigquery,464,2024-11-11,46,2024
chsql,201,2024-11-11,46,2024
crypto,205,2024-11-11,46,2024
duckpgq,2825,2024-11-11,46,2024
evalexpr_rhai,369,2024-11-11,46,2024
faiss,187,2024-11-11,46,2024
flockmtl,167,2024-11-11,46,2024
fuzzycomplete,194,2024-11-11,46,2024
gsheets,192,2024-11-11,46,2024
h3,14593,2024-11-11,46,2024
hostfs,135,2024-11-11,46,2024
http_client,180,2024-11-11,46,2024
httpserver,219,2024-11-11,46,2024
lindel,188,2024-11-11,46,2024
magic,161,2024-11-11,46,2024
open_prompt,164,2024-11-11,46,2024
pivot_table,225,2024-11-11,46,2024
prql,234,2024-11-11,46,2024
psql,155,2024-11-11,46,2024
quack,196,2024-11-11,46,2024
scrooge,189,2024-11-11,46,2024
sheetreader,164,2024-11-11,46,2024
shellfs,220,2024-11-11,46,2024
tarfs,196,2024-11-11,46,2024
ulid,253,2024-11-11,46,2024
bigquery,552,2024-11-17,46,2024
chsql,153,2024-11-17,46,2024
crypto,180,2024-11-17,46,2024
duckpgq,2509,2024-11-17,46,2024
evalexpr_rhai,324,2024-11-17,46,2024
faiss,144,2024-11-17,46,2024
flockmtl,124,2024-11-17,46,2024
fuzzycomplete,147,2024-11-17,46,2024
gsheets,130,2024-11-17,46,2024
h3,14596,2024-11-17,46,2024
hostfs,100,2024-11-17,46,2024
http_client,174,2024-11-17,46,2024
httpserver,207,2024-11-17,46,2024
lindel,166,2024-11-17,46,2024
magic,135,2024-11-17,46,2024
open_prompt,135,2024-11-17,46,2024
pivot_table,154,2024-11-17,46,2024
prql,171,2024-11-17,46,2024
psql,129,2024-11-17,46,2024
quack,147,2024-11-17,46,2024
scrooge,156,2024-11-17,46,2024
sheetreader,143,2024-11-17,46,2024
shellfs,176,2024-11-17,46,2024
tarfs,149,2024-11-17,46,2024
ulid,223,2024-11-17,46,2024
